Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
WAT,257.44,2023/06/28,16:03 EDT,-0.2999878,257.44,257.71,253.885,417364,20230628,254.53,1.0,,,,
PFE,36.29,2023/06/28,16:03 EDT,-0.12999725,36.5,36.54,36.0334,30004624,20230628,36.17,1.0,,,,
NKE,113.03,2023/06/28,16:00 EDT,-0.58000183,113.34,113.745,112.12,6711549,20230628,112.6,1.0,,,,
MKTX,257.89,2023/06/28,16:00 EDT,-1.4799805,260.24,261.14,257.24,317243,20230628,259.67,1.0,,,,
GWRE,75.49,2023/06/28,16:00 EDT,0.55999756,74.83,76.27,74.735,627508,20230628,75.86,1.0,,,,
GILD,76.18,2023/06/28,16:00 EDT,0.16999817,75.92,76.22,75.26,4486615,20230628,75.8,1.0,,,,
EL,193.87,2023/06/28,16:00 EDT,-2.600006,195.6,195.94,192.19,1223068,20230628,193.25,1.0,,,,
DPZ,325.52,2023/06/28,16:00 EDT,0.58999634,324.63,325.99,322.79,689742,20230628,323.33,1.0,,,,
CTVA,56.94,2023/06/28,16:03 EDT,-0.3900032,57.63,57.64,56.335,2944966,20230628,56.73,1.0,,,,
SCHW,55.78,2023/06/28,16:00 EDT,0.55999756,55.46,55.81,55.04,9314781,20230628,55.43,1.0,,,,
BK,43.56,2023/06/28,16:01 EDT,-0.27999878,43.78,43.8,43.24,2576298,20230628,43.36,1.0,,,,
BAC,28.07,2023/06/28,16:00 EDT,-0.17000008,28.25,28.27,27.9,36319663,20230628,28.03,1.0,,,,
AMGN,221.31,2023/06/28,16:00 EDT,-1.300003,222.24,222.345,218.66,2251654,20230628,219.35,1.0,,,,
ALLE,118.16,2023/06/28,16:03 EDT,-0.8299942,118.61,119.07,117.085,497462,20230628,117.68,1.0,,,,
